version,seed,participants,backend,strategy,window,dropout,observed,completion,spread,entropy,effective_set,k,auc,fpr,fnr,trace_hash
1,54,1000,MerkleCohort,LatencyAware,4,0.05,948,0.948,2,6.556891203115066,704.0794487404348,1,0.41712701034048366,0.17697228144989338,0.8997912317327766,3b32e061a6914195a2b0e87a9cb844e617eb994897e6cf08663a2b9377895e0f
1,90,10,TransparentRegistry,FixedSlot,20,0.05,9,0.9,0,2.1972245773362196,9.000000000000002,1,0.4,0.6,0.25,ac328ec9bf4fb27c6ed247336346e3f66e2f119b94fa9b4231951d762ee5e4c6
1,91,100,MerkleCohort,NarrowWindow,4,0.05,95,0.95,3,4.553876891600548,95.00000000000067,1,0.4122340425531915,0.20833333333333334,0.851063829787234,28211379ba59d65357277c3f1362faa8aab726c393670a6603d716f8ae2be65a
1,92,1000,TransparentRegistry,RandomizedWithinWindow,4,0.35,634,0.634,4,6.272170345995323,529.625602209707,1,0.42463967192228064,0.18012422360248448,0.8878205128205128,72133cbfeb95bec42e128f2add17c2f8b902087f02ea4629f0a835c948d93c75
1,150,10,MerkleCohort,LatencyAware,20,0.05,10,1,2,2.3025850929940455,9.999999999999998,1,0.6,0,1,e90e1191ebcd28bb59e3334c4a30be692d917bc4c1cd52dca1252efee16ae6c9
1,151,100,TransparentRegistry,FixedSlot,4,0.05,93,0.93,0,4.532599493153259,93.00000000000028,1,0.3818604651162791,0.5348837209302325,0.46,48465209d93e4515d141411bd271bf5a5cd37bc8b279094560479d67aca33b15
1,152,1000,MerkleCohort,NarrowWindow,4,0.05,952,0.952,3,6.6493946126020465,772.316633224934,1,0.4170157172050652,0.21711899791231734,0.8520084566596194,73b38438df64b03149a71808ed94628107adc4d83d74f2f0185fd664f6a5cf02
1,61,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,9,0.9,16,2.1972245773362196,9.000000000000002,1,0.55,0,1,ea87bc8ba4be96006eb1cc1b40052ff6b9a1da4d8aa1f3dc43a9b94026ee3fab
1,62,100,MerkleCohort,LatencyAware,4,0.35,62,0.62,2,4.127134385045088,61.99999999999979,1,0.509375,0.09375,0.9,c591aceadf9212404082586f8c2f3965c6eab11edbefab65733f8e77c49d5e0d
1,63,1000,TransparentRegistry,FixedSlot,4,0.05,954,0.954,0,6.006447504439704,406.0383058111657,1,0.37927260740577956,0.5824634655532359,0.5557894736842105,bf9ced5f24b7aee1d9ab801a1d9510c9fbc1104ad9ee0cd056fb52875fe49732
1,99,10,MerkleCohort,NarrowWindow,20,0.05,10,1,2,2.3025850929940455,9.999999999999998,1,0.52,0,1,929dfc835e44c824cfba79b2090f85458aefd610f8e9dc9c65b5fae747f06a56
1,100,100,TransparentRegistry,RandomizedWithinWindow,4,0.05,94,0.94,4,4.543294782270009,94.0000000000005,1,0.4332277048438207,0.14893617021276595,0.851063829787234,5e1eaf7db63780522e8e996b5ec746a0096cd60ca465fa55af43b0cdf8c1f582
1,101,1000,MerkleCohort,LatencyAware,4,0.05,941,0.941,2,6.546739788191449,696.968201794718,1,0.4153265151241372,0.1906779661016949,0.9019189765458422,a4cefee169ed004972a20579426fd2824ab1f5ebb97221f0ec15aacc5e87f437
1,159,10,TransparentRegistry,FixedSlot,20,0.35,7,0.7,0,1.945910149055313,6.999999999999998,1,0.3333333333333333,0.6666666666666666,0.5,66f3e54e4266a221a41fef5fc51d5eb3f3b2097c36b6fe64c9d91381b471e5b7
1,160,100,MerkleCohort,NarrowWindow,4,0.05,96,0.96,3,4.5643481914678405,96.00000000000041,1,0.4140625,0.22916666666666666,0.875,0dde411e0244d684431414f113fbeafa7d2997a1e69a09c249b8aa0919488132
1,161,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,944,0.944,4,6.604658252539681,738.5274362042824,1,0.43754236184987183,0.1932059447983015,0.8393234672304439,c49180f392cdec582b82e349c2e91228d431d3fa139c9e4bdb9e9fc6196eb0d7
1,70,10,MerkleCohort,LatencyAware,20,0.05,9,0.9,2,2.1972245773362196,9.000000000000002,1,0.1,0,1,4227f4f8e58e683332577bf89408a962e7063b3042331180ea733bcfb1808810
1,71,100,TransparentRegistry,FixedSlot,4,0.05,97,0.97,0,4.574710978503382,96.99999999999991,1,0.3983843537414966,0.5306122448979592,0.5416666666666666,f269e574d3a1e5c38a0cae32f3988d661095b44989d61f9f2780f87897534f61
1,72,1000,MerkleCohort,NarrowWindow,4,0.35,660,0.66,3,6.328641937802429,560.3950255415772,1,0.41948961882110947,0.2598187311178248,0.851063829787234,3d09bf4f5649d84a2b12488405b46d43dbbbba1946fec0979e954fd79522325f
1,108,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,7,0.7,20,1.945910149055313,6.999999999999998,1,0.75,0,1,90938da6ccc07c52cb347d69932feb1f00fdf20117041086bdd9525507aba1e3
1,109,100,MerkleCohort,LatencyAware,4,0.05,96,0.96,2,4.5643481914678405,96.00000000000041,1,0.4184027777777778,0.16666666666666666,0.875,558c82e8cd79a987f1b0d2441de8bbe4293030a98a38f54cfe7a32add57b4182
1,110,1000,TransparentRegistry,FixedSlot,4,0.05,957,0.957,0,6.007919267722997,406.6363380542687,1,0.38448971747069,0.5847107438016529,0.5517970401691332,c62c32938b79f790925053569166a9ea40ba9863e2dfb9905376dc726a77dc9a
1,168,10,MerkleCohort,NarrowWindow,20,0.05,10,1,3,2.3025850929940455,9.999999999999998,1,0.48,0,1,9ef8caea2c8bfc21d3f1a46ccd597d98ccd5b655217ed11f214b2f8e6b41ae87
1,169,100,TransparentRegistry,RandomizedWithinWindow,4,0.35,71,0.71,4,4.262679877041316,71.00000000000007,1,0.48012718600953896,0.17647058823529413,0.8108108108108109,abfa97dd80d3eb83a1c585fb77f7bfc6b85f6ae99bdd64b46e95f51680a4fbfe
1,170,1000,MerkleCohort,LatencyAware,4,0.05,951,0.951,2,6.536236344714798,689.6859470073982,1,0.40058381247235736,0.19117647058823528,0.8905263157894737,49509660e483a7a7578d23e35a72be9e2a20ec034cd8f36998e832a66d25fc6a
1,79,10,TransparentRegistry,FixedSlot,20,0.05,8,0.8,0,2.0794415416798357,7.999999999999998,1,0.4666666666666667,0.6666666666666666,0.4,e668ae425b3aec8c9794c960133f98582e591ce8246a8ed331c947ba4812d506
1,80,100,MerkleCohort,NarrowWindow,4,0.05,95,0.95,3,4.553876891600548,95.00000000000067,1,0.3808888888888889,0.22,0.8666666666666667,4eab5bcc8ed370b3992515bea47e70ecb71488577dd45e364ca054633bf2efef
1,81,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,964,0.964,4,6.597802775164157,733.4817929817237,1,0.4137396694214876,0.18181818181818182,0.8770833333333333,ccf497402d026bd018ce4ed0e8397663c493c525bcf2a8f2618157f10cf192c5
1,117,10,MerkleCohort,LatencyAware,20,0.35,4,0.4,2,1.3862943611198906,4,1,1,0,0.5,e0c762d57197d5c14491ea3bf1a411498d699859d77529c7935c6b1fbdd66bb3
1,118,100,TransparentRegistry,FixedSlot,4,0.05,93,0.93,0,4.532599493153259,93.00000000000028,1,0.40425531914893614,0.5652173913043478,0.5319148936170213,32cf7c3c76d74b120fcbdb94a41bf8566034999738d0ac3b0ab1ea1830ad23fd
1,119,1000,MerkleCohort,NarrowWindow,4,0.05,950,0.95,3,6.653074443184686,775.1638630401343,1,0.4171907756813417,0.2346723044397463,0.8406708595387841,19a416874242932970875fefa9ec892a0b3c64d4d54eec5048cd070dc547dc4c
1,177,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,10,1,19,2.3025850929940455,9.999999999999998,1,0.6,0,1,9e2459577e4f64be75c5fd66c252f87613464c0d86c41e539a905ddae880e451
1,178,100,MerkleCohort,LatencyAware,4,0.05,98,0.98,2,4.584967478670565,97.99999999999935,1,0.4110787172011662,0.1836734693877551,0.8979591836734694,fe9640d99bd34e5d6dc9d075e807de44cefb8e7114f6f24184cc6bb130a6558d
1,179,1000,TransparentRegistry,FixedSlot,4,0.35,631,0.631,0,5.866549888305001,353.02888765615376,1,0.4039663244188149,0.5646687697160884,0.5254777070063694,58b7114b429b3303f159f303a51e7f8cc819b9d8dddaee333eb2556b6e4efeb6
1,88,10,MerkleCohort,NarrowWindow,20,0.05,9,0.9,3,2.1972245773362196,9.000000000000002,1,0.65,0.2,0.75,fbbabffcf71f56f4258a67ab60c57ca42346b1d02a46180bf9b0caa37d5a558f
1,89,100,TransparentRegistry,RandomizedWithinWindow,4,0.05,92,0.92,4,4.521788577049038,91.99999999999977,1,0.4657210401891253,0.2127659574468085,0.8444444444444444,47350101715bcfed766c61978c3f80a6e2e650f2934a01c590afd09030c5bf3e
1,90,1000,MerkleCohort,LatencyAware,4,0.05,943,0.943,2,6.55371535935829,701.846949329948,1,0.41799370220422855,0.18736842105263157,0.8760683760683761,23145acf5fe503d547576eb2fbfc9cff1c53a715330aff846c22e2b2c71cd9b9
1,126,10,TransparentRegistry,FixedSlot,20,0.05,9,0.9,0,2.1972245773362196,9.000000000000002,1,0.55,0.4,0.25,cd8f44b1e3185c1cabc2a98475826957a0299a9946e057aa18885dca356ac1e7
1,127,100,MerkleCohort,NarrowWindow,4,0.35,65,0.65,3,4.174387269895635,64.99999999999986,1,0.4638095238095238,0.22857142857142856,0.9,f87f2f1bdf1d581d68092a7f594a9e086f7e22a3d5db0544685d19ccdf11fd57
1,128,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,950,0.95,4,6.579339160725011,720.0633258594085,1,0.4048826324374158,0.20502092050209206,0.875,9a836ff6f954da035ba7b136de0c5d626ceaeef4e23d9a13fe618cec986a3d98
1,186,10,MerkleCohort,LatencyAware,20,0.05,8,0.8,2,2.0794415416798357,7.999999999999998,1,0.26666666666666666,0,1,98bb8ae51e5176902f74e47d01496f3c11d9603adedb5d80c6a5d0ac473c4b30
1,187,100,TransparentRegistry,FixedSlot,4,0.05,92,0.92,0,4.521788577049038,91.99999999999977,1,0.3946124763705104,0.5217391304347826,0.5217391304347826,499d6e3585b5ceb9ffb34dacf0e95ed90a3c870f7a95c8bccd67751cc34a2d72
1,188,1000,MerkleCohort,NarrowWindow,4,0.05,959,0.959,3,6.623908271424006,752.8818211236634,1,0.43595107821049245,0.20711297071129708,0.8523908523908524,e944201616e4de5901f9f25f8e6c8ed458a2809c8415b389b7f9e0714ff79ac3
1,97,10,TransparentRegistry,RandomizedWithinWindow,20,0.35,6,0.6,16,1.7917594692280547,5.999999999999998,1,0.2222222222222222,0,1,a7ff8b271ad88ab8ee8219e6c6be5716003714461eaa81d3e31b99d71c8edc23
1,98,100,MerkleCohort,LatencyAware,4,0.05,91,0.91,2,4.510859506516846,90.99999999999964,1,0.3922705314009662,0.17391304347826086,0.9111111111111111,4162ec5f34e1ce15b3c6e6cdd582791a2244caf40acba6593ad7e8f2dc05417d
1,99,1000,TransparentRegistry,FixedSlot,4,0.05,963,0.963,0,6.0095873485229925,407.3152063685457,1,0.40427881297446516,0.5631469979296067,0.54375,343564d5daf9ceab836c524f8637f85984d16fa39ed7711c26c0b02729a7b223
1,135,10,MerkleCohort,NarrowWindow,20,0.05,10,1,3,2.3025850929940455,9.999999999999998,1,0.6,0.2,1,2aea7bd89ec3e2a7ad231e29b43bcd44f092786bfbe9065a4e98230f327c0a41
1,136,100,TransparentRegistry,RandomizedWithinWindow,4,0.05,97,0.97,4,4.574710978503382,96.99999999999991,1,0.40680851063829787,0.2127659574468085,0.9,241556096e62f3766eb5c00a0f01d76bb72b8d5f571a9f7976820f7d5c401c3c
1,137,1000,MerkleCohort,LatencyAware,4,0.35,658,0.658,2,6.278243098221772,532.8516729144048,1,0.3783728838619058,0.19161676646706588,0.8888888888888888,7fde20035f0855cc1318e7778e37cbeb6543967fe6374ce413ca682312671a29
1,195,10,TransparentRegistry,FixedSlot,20,0.05,9,0.9,0,2.1972245773362196,9.000000000000002,1,0.45,0.4,0.5,ce553820a73597adca7a38b069207062cca6adda479fb65b5df722ce7074f9f6
1,196,100,MerkleCohort,NarrowWindow,4,0.05,97,0.97,3,4.574710978503382,96.99999999999991,1,0.4557823129251701,0.16326530612244897,0.8125,ed097eb9a2d7afed3195ac1ffdb10e9707420b7d47805da1245531170086d6e6
1,197,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,942,0.942,4,6.58157907128943,721.6780110101155,1,0.41041395258680924,0.22174840085287847,0.8520084566596194,98af3f4d4ffc1e326e98a3dc8f4b0bc21dfc6fae36d28ad9825567389df834ce
1,106,10,MerkleCohort,LatencyAware,20,0.05,8,0.8,1,2.0794415416798357,7.999999999999998,1,0.625,0,1,1a6ed73c992ac42b3d8eb44a41e045155390585533198d83d9886d4107a528b9
1,107,100,TransparentRegistry,FixedSlot,4,0.35,69,0.69,0,4.234106504597258,68.9999999999999,1,0.36739864864864863,0.59375,0.5675675675675675,2704fe7a47ad755ecd9e3452df85851141610e280ec5a47ebdea2d8a4c2d8ef0
1,108,1000,MerkleCohort,NarrowWindow,4,0.05,954,0.954,3,6.628681541781401,756.4841201370087,1,0.4255712860364023,0.23492723492723494,0.8308668076109936,f3906ba12d22b22c6f5eccdf3f9350d3a8c361c2ef739458254040821ff6b6b7
1,144,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,10,1,16,2.3025850929940455,9.999999999999998,1,0.56,0,1,d7930b1963046145442f7622d1e468fd45d2d4356f26dc5f6a04688e855841fd
1,145,100,MerkleCohort,LatencyAware,4,0.05,94,0.94,2,4.543294782270009,94.0000000000005,1,0.40878225441376187,0.1702127659574468,0.8936170212765957,f83abe24e12e2a2780d84716adbbff0b87c0ed95a66989a169ce1aa3a4c84aba
1,146,1000,TransparentRegistry,FixedSlot,4,0.05,944,0.944,0,6.003569241134837,404.87130093449684,1,0.390633977305372,0.5699152542372882,0.5444915254237288,cc49bddb5cf04e17fa2478253e512fe623be42cf53ab6a7efd18afabdf3337e7
1,204,10,MerkleCohort,NarrowWindow,20,0.35,5,0.5,2,1.6094379124341005,5.000000000000001,1,1,0,1,ad8400afbcc2b2f1e91c3597a20c602c30703343e36f9990587ee6c3bfd021f0
1,205,100,TransparentRegistry,RandomizedWithinWindow,4,0.05,96,0.96,4,4.5643481914678405,96.00000000000041,1,0.4485453755970473,0.22448979591836735,0.8936170212765957,1e2d27e930cca887de35e7f8d7b04e5795ce78bb9443da403427160dbdcd5235
1,206,1000,MerkleCohort,LatencyAware,4,0.05,941,0.941,2,6.546378685031419,696.7165698098964,1,0.4110530880705432,0.17584745762711865,0.8912579957356077,edfa52c095b5b16d5248bef1a30f405646599b9d68264df85021927fb18a0238
1,115,10,TransparentRegistry,FixedSlot,20,0.05,9,0.9,0,2.1972245773362196,9.000000000000002,1,0.35,0.8,0.5,5e8ca30e68c76a79ecc402b3b094cf996c1268dc62d4edbfed07b43040b1f348
1,116,100,MerkleCohort,NarrowWindow,4,0.05,94,0.94,3,4.543294782270009,94.0000000000005,1,0.4420289855072464,0.2391304347826087,0.8333333333333334,395fcb05aa76c8ac55a6c6388f93e02802d3121651de4a49ff4ff137cea1058c
1,117,1000,TransparentRegistry,RandomizedWithinWindow,4,0.35,649,0.649,4,6.305878783464966,547.7827591625091,1,0.3941060269341083,0.20186335403726707,0.8654434250764526,0ab8a399176c7a55addf5cbd4e7e57c4171c838018728711dd2e660b5e62360c
1,153,10,MerkleCohort,LatencyAware,20,0.05,10,1,2,2.3025850929940455,9.999999999999998,1,0.44,0.2,0.8,e1588d28715e00f4bd47e3e021fa69d6d052715d37c18777c0358809ed247116
1,154,100,TransparentRegistry,FixedSlot,4,0.05,97,0.97,0,4.574710978503382,96.99999999999991,1,0.3778723404255319,0.64,0.48936170212765956,c05518640433291969ab5dd0d8133bc39a8a44b66793d49822fb37e793f3a440
1,155,1000,MerkleCohort,NarrowWindow,4,0.05,945,0.945,3,6.6300021205918584,757.4837769540366,1,0.4264247311827957,0.22365591397849463,0.8354166666666667,f96de17e83e272ebb6db72037afd4384bfbde8e5c03b63961136887c1667b3bd
1,213,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,10,1,17,2.3025850929940455,9.999999999999998,1,0.4,0.2,1,21bc8ea7476d5e4adaa17930e99d5784a898d455dc080e6a8f91b8f4c1cd3e28
1,214,100,MerkleCohort,LatencyAware,4,0.35,62,0.62,2,4.127134385045088,61.99999999999979,1,0.4560846560846561,0.25925925925925924,0.8571428571428571,8dfea59260a02b8c6c41a2c398908fc6c8469ce49911cb80228deac0e7efc74e
